"time_5yr","woman_age_ab_bin","rural","births","deaths","nmr_smoothed","births_smoothed","births_total","gamma_m2","gamma_m1","rural_ch","gamma_m0"
"1996-2000","35-39",1,NA,NA,0.0392398591573647,668,9476,0.0704938792739553,0.0871742112482853,"rural",NA
"1996-2000","40-44",0,NA,NA,0.0292999702641881,46,1783,0.0257992148065059,0.0142961876832845,"urban",NA
"1996-2000","40-44",1,NA,NA,0.0382914000140643,245,9476,0.0258547910510764,0.0234567901234568,"rural",NA
"1996-2000","45-49",0,NA,NA,0.0298580774891385,8,1783,0.00448681996634885,0,"urban",NA
"1996-2000","45-49",1,NA,NA,0.0389657756981077,41,9476,0.00432672013507809,0,"rural",NA
"2001-2005","40-44",0,NA,NA,0.0263335897217739,62,2381,0.0260394792104158,0.0142961876832845,"urban",NA
"2001-2005","40-44",1,NA,NA,0.0344505075305632,327,12646,0.0258579788075281,0.0234567901234568,"rural",NA
"2001-2005","45-49",0,NA,NA,0.0268427898809532,10,2381,0.00419991600167997,0,"urban",NA
"2001-2005","45-49",1,NA,NA,0.0350684697911367,55,12646,0.00434920132848331,0,"rural",NA
"2006-2010","45-49",0,NA,NA,0.024518646125545,12,2752,0.00436046511627907,0,"urban",NA
"2006-2010","45-49",1,NA,NA,0.0320589976156046,63,14615,0.00431063975367773,0,"rural",NA
